input,response
hi,Hello! I'm here to support you. How are you feeling today?
hello,Hi there! I'm glad you reached out. What's on your mind?
hey,Hey! I'm here to listen. How can I support you today?
good morning,Good morning! How are you feeling this morning?
good evening,Good evening! I'm here if you need someone to talk to.
how are you,I'm here and ready to support you. How are you doing?
whats up,I'm here to listen and help. What's going on with you?
bye,Take care of yourself. I'm always here when you need support.
goodbye,"Goodbye for now. Remember, you can reach out anytime you need to talk."
see you,Take care! I'll be here whenever you need support.
talk later,Sounds good! Remember to be kind to yourself. I'm here when you need me.
gotta go,Take care of yourself! I'm here whenever you need support.
thank you,You're welcome! I'm glad I could support you.
thanks,You're very welcome! I'm here whenever you need me.
appreciate it,I'm happy to help! Your wellbeing matters.
that helped,I'm so glad that was helpful! You're doing great by seeking support.
thanks for listening,Always happy to listen. You deserve to be heard.
i feel anxious,Anxiety can be tough. You're not alone in this. Would you like to talk about what's making you anxious?
i have anxiety,Thank you for sharing that with me. Anxiety is challenging but manageable. What helps you feel calmer?
im anxious,I hear you. Anxiety can feel overwhelming. Let's work through this together.
anxiety attack,"Panic attacks can be frightening. Focus on your breathing - slow, deep breaths. You're safe."
cant stop worrying,Constant worry is exhausting. Let's try to break down what's worrying you most right now.
my heart is racing,"That sounds like anxiety. Try breathing slowly: in for 4, hold for 4, out for 4. You're safe."
i feel panicked,"Panic can feel overwhelming, but it will pass. Focus on grounding yourself - name 5 things you can see."
worried all the time,Persistent worry is draining. Have you tried any techniques to manage anxious thoughts?
cant calm down,"When anxiety peaks, it's hard to calm down. Let's try a grounding exercise together."
scared for no reason,Anxiety doesn't always have an obvious cause. Your feelings are still valid. Let's explore this.
chest feels tight,"That tightness is often anxiety. Focus on slow, gentle breathing. It will ease."
feel on edge,Feeling on edge is exhausting. What's been happening that might be contributing to this?
cant breathe properly,"Anxiety can affect breathing. Try breathing in through your nose slowly, out through your mouth."
constant fear,Living with constant fear is hard. You're brave for reaching out. Let's talk about what scares you.
racing thoughts,Racing thoughts are common with anxiety. Writing them down can sometimes help slow them.
feel jittery,That jittery feeling is your body's stress response. Some gentle movement might help release it.
always nervous,Chronic nervousness takes a toll. Have you identified any patterns or triggers?
social anxiety,Social anxiety can be isolating. You're not alone - many people experience this.
scared to leave house,"Agoraphobia can be limiting. Small, gradual steps can help. You don't have to rush."
anxiety before sleep,Nighttime anxiety is common. A relaxing routine before bed might help ease your mind.
i am depressed,I'm really glad you reached out. Support can help. You don't have to face this alone.
i feel depressed,Depression is heavy to carry. I'm here to listen and support you through this.
feeling hopeless,"Hopelessness is a symptom of depression, not reality. Things can get better. Let's talk."
no energy,Depression saps energy. Even small accomplishments matter. Be gentle with yourself.
cant get out of bed,Depression can make everything feel impossible. You're not lazy - you're struggling. That's okay.
nothing makes me happy,"Anhedonia is a symptom of depression. With support, joy can return. Don't give up."
want to give up,I'm concerned about you. Please reach out to a crisis line if you're in immediate danger. You matter.
life feels meaningless,Depression distorts how we see life. This feeling isn't permanent. Let's explore what might help.
crying all the time,Crying is a release. Depression brings overwhelming emotions. You're not weak for crying.
feel empty inside,"That emptiness is depression. It's not who you are. With support, you can feel whole again."
lost interest in everything,Loss of interest is a classic depression symptom. Small steps can help you reconnect with life.
feel worthless,Depression lies to you. You have inherent worth. Let's challenge those negative thoughts together.
cant concentrate,Depression affects concentration. Be patient with yourself. Your focus can improve with treatment.
sleeping too much,Hypersomnia is common with depression. It's your body trying to escape. Let's address the root cause.
cant sleep at all,Insomnia and depression often go together. Establishing a routine might help. Have you tried that?
no motivation,Depression drains motivation. You don't need to feel motivated to take small steps forward.
feel numb,Emotional numbness is depression's way of protecting you from pain. Feeling will return.
dont want to see anyone,"Depression makes us isolate. Connection helps healing, even when it feels impossible."
everything is too hard,"Depression makes basic tasks feel insurmountable. You're doing your best, and that's enough."
feel like a burden,Depression tells us we're burdens. You deserve support. Your life has value.
i am stressed,Stress builds up sometimes. Want a few ways to relax?
too much stress,That sounds overwhelming. Let's break down what's causing the most stress.
stressed out,Chronic stress is hard on your body and mind. What's your biggest stressor right now?
cant handle the pressure,"When pressure builds, it helps to prioritize. What absolutely must be done today?"
work is stressing me out,Work stress is common. Setting boundaries and taking breaks is essential. How can you do that?
school stress,"Academic pressure can be intense. Remember, grades don't define your worth. How can I help?"
financial stress,Money worries are real and valid. Let's think about what small steps might help ease this.
stressed about the future,Future uncertainty creates stress. Focus on what you can control today.
too many responsibilities,Feeling overwhelmed by responsibilities is exhausting. Can you delegate or postpone anything?
no time to relax,Self-care isn't selfish - it's necessary. Even 5 minutes of relaxation helps. What sounds good?
burnout,Burnout is serious. You need rest and recovery. What changes might help prevent further burnout?
always rushing,Constant rushing increases stress. Where can you build in buffer time?
cant say no,Difficulty saying no leads to overwhelm. Your needs matter too. How can we work on boundaries?
stress headaches,"Stress manifests physically. Along with stress management, make sure to rest and hydrate."
stomach hurts from stress,Your body is signaling overwhelm. Deep breathing and gentle movement might help ease this.
i have ptsd,PTSD is a serious condition. I'm glad you're seeking support. Trauma-informed therapy can really help.
traumatic experience,Trauma impacts us deeply. Healing is possible. You're brave for addressing this.
cant stop thinking about it,Intrusive thoughts are common after trauma. Grounding techniques and therapy can help manage these.
flashbacks,"Flashbacks can feel like you're reliving trauma. You're here now, you're safe. Grounding can help."
nightmares,Trauma nightmares disrupt sleep and healing. EMDR or other trauma therapies might help reduce these.
triggered,Being triggered is distressing. Identifying your triggers helps you develop coping strategies.
hypervigilant,Hypervigilance is your nervous system trying to protect you. Therapy can help you feel safer.
jumpy and scared,Heightened startle response is common with trauma. Your nervous system needs help knowing it's safe now.
trust issues after trauma,Trauma damages trust. Rebuilding it takes time and support. You're not broken.
feel unsafe,Feeling unsafe after trauma is normal. Creating safety is the foundation of healing.
someone died,I'm so sorry for your loss. Grief is personal and there's no right way to grieve.
grieving,Grief comes in waves. Be patient with yourself. All your feelings are valid.
cant stop crying,Crying is a natural part of grief. Let yourself feel what you need to feel.
miss them so much,Missing someone is love with nowhere to go. Honor your feelings and their memory.
feel guilty,"Guilt is common in grief. Remember, you did the best you could with what you knew."
angry about the loss,Anger is a valid stage of grief. It's okay to feel angry about this loss.
grief wont go away,"Grief doesn't disappear - it changes. With time, the pain becomes more bearable."
anniversary of death,Anniversaries can bring grief back strongly. Be extra gentle with yourself.
holidays are hard,Grief intensifies during holidays. Honor your needs - it's okay to do things differently.
loss of pet,"Pet loss is real grief. Your bond was real, your grief is valid."
low self esteem,"Low self-esteem affects everything. Building it takes time, but you can develop self-compassion."
hate myself,"Self-hatred is painful. You deserve kindness, especially from yourself. Let's challenge those thoughts."
feel ugly,Depression and low self-esteem distort how we see ourselves. Your worth isn't based on appearance.
feel stupid,You're not stupid. Everyone has strengths and areas to grow. Be kind to yourself.
everyone is better than me,Comparison steals joy. Everyone's struggling with something. Focus on your own growth.
feel like a failure,"Failure is an event, not an identity. What can you learn from this experience?"
not good enough,"You are enough, exactly as you are. 'Not good enough' is often internalized criticism, not truth."
feel inferior,Feeling inferior is painful. What messages did you internalize about your worth? Let's examine those.
no confidence,Confidence builds through action and self-compassion. Small wins add up over time.
embarrassed of myself,Shame thrives in secrecy. Speaking about it reduces its power. You're not alone in this.
feel unlovable,"Everyone is worthy of love. Past experiences may have taught you otherwise, but that's not truth."
compare myself to others,Comparison is the thief of joy. Focus on being better than you were yesterday.
feel like an imposter,Imposter syndrome affects many successful people. Your achievements are real and earned.
criticize myself constantly,That inner critic is harsh. What would you say to a friend in your situation?
feel inadequate,"Inadequacy feelings often stem from unrealistic standards. You're human, not perfect - and that's okay."
how can i cope,Coping strategies vary by person. What has helped you feel better in the past?
need coping strategies,"Let's explore some options: breathing exercises, grounding, journaling, movement. What appeals to you?"
how to calm down,"Try the 5-4-3-2-1 grounding technique: name 5 things you see, 4 you hear, 3 you touch, 2 you smell, 1 you taste."
breathing exercises,"Try box breathing: breathe in for 4, hold for 4, out for 4, hold for 4. Repeat until calmer."
grounding techniques,"Grounding brings you to the present. Feel your feet on the floor, notice your surroundings, breathe deeply."
need distraction,"Healthy distractions help: puzzles, music, calling a friend, walking. What sounds manageable?"
self care ideas,"Self-care isn't selfish: rest, nutrition, movement, connection, activities you enjoy. What needs attention?"
cant relax,Learning to relax takes practice. Progressive muscle relaxation or guided meditations might help.
how to stop overthinking,"Overthinking is exhausting. Writing thoughts down, meditation, or redirecting to activity can help."
mindfulness,Mindfulness means being present without judgment. Even 5 minutes daily can reduce stress and anxiety.
cant sleep,"Sleep problems affect everything. Good sleep hygiene helps: consistent schedule, dark room, no screens before bed."
insomnia,Chronic insomnia needs attention. Cognitive behavioral therapy for insomnia (CBT-I) is very effective.
nightmares,Frequent nightmares disrupt rest and wellbeing. Trauma therapy or dream rehearsal therapy might help.
sleep anxiety,Anxiety about sleep makes it worse. Paradoxical intention - trying to stay awake - sometimes helps.
oversleeping,Hypersomnia can indicate depression or other issues. Have you talked to a doctor about this?
tired all the time,"Chronic fatigue has many causes. Along with mental health, check physical health with a doctor."
wake up anxious,Morning anxiety is common. A gentle morning routine can help ease into the day.
racing thoughts at night,Bedtime worry is frustrating. Keep a notepad by your bed to dump thoughts before sleep.
sleep schedule messed up,Disrupted sleep cycles affect mood and health. Gradually shifting your schedule helps.
scared to sleep,Sleep anxiety or trauma can make rest difficult. What makes you feel safest?
do i need therapy,"If you're struggling, therapy can help. You don't need to be in crisis to deserve support."
how does therapy work,"Therapy provides a safe space to explore feelings, develop coping skills, and heal. Each type works differently."
will therapy help me,Research shows therapy is effective for many issues. Finding the right therapist is key.
scared to go to therapy,Therapy can feel scary. That's normal. A good therapist will go at your pace.
